UN_DENOMINACION,TIPO,CONTRATACION,NOMBRE_TS,INICIO,ACCION
3,1,41652,2,28-feb-15,GO
2,1,41377,11,26-jun-14,GO
4,1,95873,1,31-may-14,NO GO
4,1,17019,4,28-nov-16,GO
2,1,28305,9,28-feb-15,GO
2,1,28305,9,01-feb-14,GO
3,1,134303,2,01-abr-13,GO
2,1,106058,10,31-oct-15,GO
4,1,110678,5,31-may-14,NO GO
2,1,23854,11,30-ene-15,NO GO
2,1,7221,9,21-oct-14,GO
2,1,27392,4,30-oct-14,GO
2,1,213680,10,31-jul-13,GO
2,1,26706,6,25-abr-11,GO
2,1,22183,6,04-jul-11,GO
2,1,9391,9,08-ene-13,GO
2,1,63887,10,06-nov-15,GO
4,1,49816,6,16-ene-12,GO
2,1,70359,10,31-oct-13,GO
2,1,80,9,01-ene-16,NO GO
4,1,3822,11,20-abr-12,NO GO
2,1,255076,2,30-jun-16,GO
2,1,21910,6,01-mar-11,GO
2,1,42959,9,01-ene-12,GO
2,1,30834,10,30-nov-15,GO
2,1,8133,10,13-may-14,GO
2,1,21995,6,19-abr-13,GO
2,1,299359,9,15-ene-13,GO
3,1,11037,10,01-sep-14,GO
4,1,13280,11,03-mar-15,NO GO
2,1,34982,10,31-ago-13,NO GO
2,1,19808,10,23-feb-16,NO GO
2,1,4061,10,15-jun-16,NO GO
2,1,19808,10,23-nov-15,NO GO
2,1,19808,10,23-feb-16,NO GO
2,1,19808,10,23-feb-16,NO GO
2,1,19808,10,23-feb-16,NO GO
2,1,19808,10,01-dic-16,NO GO
2,1,19808,10,23-feb-16,NO GO
2,1,3958,9,15-may-13,GO
2,1,140969,10,15-jun-12,GO
2,1,27368,10,31-jul-14,GO
2,1,27368,7,01-jul-14,GO
3,1,8415,10,31-jul-15,GO
2,1,27368,10,31-jul-14,GO
2,1,30448,10,31-jul-13,GO
2,1,476662,10,18-nov-15,GO
4,1,2973,3,19-dic-13,GO
4,1,15287,10,11-mar-16,NO GO
2,1,8176,3,05-jun-14,NO GO
4,1,65292,1,31-dic-15,NO GO
2,1,7306,10,31-dic-15,GO
2,1,7306,10,30-jun-16,GO
2,1,7260,6,12-dic-11,GO
2,1,7306,10,15-jul-15,GO
2,1,7306,10,30-jun-15,GO
2,1,7306,10,30-nov-15,GO
2,1,7306,10,15-jul-15,GO
2,1,44756,6,01-feb-12,GO
2,1,7306,10,15-jul-15,GO
2,1,7306,10,13-nov-15,GO
2,1,22955,4,01-ene-11,GO
2,1,96080,9,01-ene-12,GO
2,1,43713,10,31-ene-15,GO
4,1,168162,6,01-abr-11,GO
2,1,18122,11,16-jun-11,GO
2,1,6355,9,01-ene-14,GO
4,1,269451,1,27-dic-11,GO
4,1,10052,5,31-dic-14,NO GO
4,1,13679,11,01-ene-14,NO GO
4,1,28069,6,01-feb-12,NO GO
2,1,4612,6,01-ene-12,NO GO
4,1,12827,9,30-sep-14,GO
2,1,129746,5,01-ene-16,GO
4,1,66158,5,31-oct-14,GO
4,1,2188,6,01-ene-11,NO GO
2,1,53055,10,01-sep-15,NO GO
4,1,1459,4,19-mar-14,GO
3,1,12247,5,24-feb-15,GO
2,1,12710,9,01-ene-14,GO
2,1,219628,10,28-nov-12,GO
2,1,5863,10,30-nov-15,GO
2,1,17295,9,31-may-14,NO GO
4,1,52444,10,14-oct-14,NO GO
3,1,2980,2,01-ene-14,NO GO
2,1,1665,10,31-may-14,GO
2,1,176587,10,09-dic-15,GO
3,1,15652,10,30-dic-16,GO
4,1,14942,6,11-ene-12,GO
4,1,11855,5,22-ene-14,GO
4,1,48629,1,27-jun-12,GO
3,1,34245,5,01-dic-11,GO
2,1,1380,9,31-may-15,GO
3,1,27541,10,05-jul-12,GO
3,1,29138,5,30-jun-14,NO GO
3,1,2970,9,30-jun-15,NO GO
2,1,1524,6,01-jun-11,NO GO
2,1,6552,10,31-oct-12,GO
2,1,3770,9,15-feb-13,GO
2,1,36507,10,31-ene-16,GO
2,1,6004,9,28-jun-13,GO
2,1,17217,9,25-nov-14,GO
4,1,12638,3,22-ene-13,GO
4,1,38273,9,30-sep-14,GO
4,1,17884,1,30-jun-14,GO
4,1,4729,5,29-abr-16,GO
2,1,36245,10,23-sep-16,GO
2,1,3245,10,19-jul-13,GO
3,1,4231,9,30-sep-14,GO
2,1,51314,9,31-ago-14,GO
3,1,63422,7,18-ene-16,NO GO
2,1,11635,4,01-jun-13,NO GO
2,1,27077,2,01-sep-16,NO GO
3,1,1039,4,03-dic-14,GO
3,1,14472,10,13-dic-13,GO
2,1,44340,10,01-sep-15,GO
3,1,17951,4,18-may-16,GO
4,1,205632,5,15-nov-11,GO
2,1,5782,4,02-oct-14,GO
2,1,399533,2,31-ago-14,GO
2,1,10555,10,28-jul-13,GO
2,1,4022,9,23-ene-15,GO
3,1,14669,7,31-ene-15,GO
3,1,30388,2,01-abr-14,GO
3,1,11850,2,13-ene-16,GO
4,1,17298,6,01-ene-11,GO
4,1,17479,11,23-feb-15,GO
3,1,58159,5,24-ene-13,NO GO
2,1,15358,9,01-feb-13,NO GO
3,1,32663,2,30-jun-16,GO
2,1,33992,9,01-ene-16,NO GO
4,1,129318,10,25-feb-13,NO GO
4,1,453,9,15-jul-14,GO
2,1,35142,6,15-may-12,GO
2,1,61351,5,30-jun-14,GO
4,1,4801,5,17-ene-14,GO
4,1,125716,1,31-jul-15,GO
4,1,141739,9,20-feb-12,GO
4,1,1605,11,31-ene-16,GO
4,1,12760,11,18-jun-13,NO GO
3,1,4629,4,15-mar-12,NO GO
1,1,40275,4,28-feb-14,NO GO
2,1,34432,6,21-may-12,GO
2,1,14342,10,31-mar-16,GO
2,1,51059,6,01-ene-13,GO
2,1,14342,10,27-oct-15,GO
2,1,10174,6,01-ago-12,GO
2,1,14342,10,27-oct-15,GO
2,1,24662,4,01-jul-13,GO
2,1,7109,4,30-may-13,GO
2,1,14178,10,22-sep-14,GO
2,1,6813,10,04-jun-13,NO GO
4,1,1245,11,20-dic-12,NO GO
2,1,38038,10,15-may-12,GO
2,1,14342,10,27-oct-15,GO
2,1,61173,9,01-abr-12,GO
4,1,50450,7,31-ene-15,GO
4,1,8705,6,15-feb-11,GO
3,1,19967,10,06-ago-12,GO
2,1,28310,6,05-mar-12,GO
2,1,2336,10,08-ene-14,GO
2,1,2281,9,31-jul-16,GO
